product_id,product_name,category,sub_category,price,cost,brand,stock_quantity,supplier_id
PROD0047,A Fiction,Books,Fiction,4031.59,2922.8,Williams-Martinez,128,SUP018
PROD0048,System Makeup,Beauty,Makeup,4361.18,2649.45,"Salazar, Nolan and Fields",103,SUP032
PROD0049,Speech Headphones,Electronics,Headphones,3564.02,2166.34,Taylor Group,277,SUP027
PROD0050,Research Fiction,Books,Fiction,936.68,578.29,Knox Ltd,319,SUP025
PROD0051,Floor Fitness,Sports,Fitness,397.84,316.31,Hardy and Sons,30,SUP050
PROD0052,Special Education,Books,Education,2085.59,1264.43,Young-Reyes,186,SUP042
PROD0053,Wife Outdoor,Sports,Outdoor,3373.69,2795.91,Larson Inc,59,SUP033
PROD0054,Police Shirt,Clothing,Shirt,1558.87,1202.09,Mckinney-Powell,275,SUP034
PROD0055,Per Education,Books,Education,4573.21,3513.62,Murray Group,235,SUP020
PROD0056,Body Mobile,Electronics,Mobile,3291.18,2396.78,Hicks Group,342,SUP012
PROD0057,Event Education,Books,Education,454.51,320.24,"Ali, Rose and Clark",244,SUP022
PROD0058,Concern Laptop,Electronics,Laptop,3190.27,2063.78,Henry and Sons,363,SUP038
PROD0059,May Shirt,Clothing,Shirt,3527.29,2324.94,Vega Group,154,SUP008
PROD0060,Allow Headphones,Electronics,Headphones,4960.64,3743.54,"Hall, Watts and Rice",493,SUP048
PROD0061,Our Shirt,Clothing,Shirt,3605.7,2797.83,"Terrell, Scott and Mcgee",35,SUP022
PROD0062,Understand Fitness,Sports,Fitness,352.81,253.53,"Stephens, Richard and Campos",351,SUP049
PROD0063,One Education,Books,Education,592.5,366.76,Guzman-Banks,32,SUP027
PROD0064,Anything Jeans,Clothing,Jeans,2476.64,1927.03,"Orr, Marshall and Sheppard",207,SUP036
PROD0065,Course Jeans,Clothing,Jeans,1365.05,835.91,Silva Ltd,444,SUP049
PROD0066,Difference Mobile,Electronics,Mobile,2399.39,1601.37,Powell-Villegas,365,SUP030
PROD0067,Indicate Furniture,Home & Kitchen,Furniture,3486.2,2311.16,"White, Holloway and Fischer",209,SUP006
PROD0068,Hope Outdoor,Sports,Outdoor,1744.06,1320.14,"Castillo, Rodriguez and Carter",116,SUP032
PROD0069,Pretty Skincare,Beauty,Skincare,2710.73,2072.04,Jacobs PLC,110,SUP045
PROD0070,Project Laptop,Electronics,Laptop,277.21,169.53,"Figueroa, Gonzalez and Owens",59,SUP028
PROD0071,Enjoy Jeans,Clothing,Jeans,4196.65,2939.99,"Jackson, Patrick and Parks",23,SUP031
PROD0072,Group Fitness,Sports,Fitness,3834.84,3120.36,Moore Ltd,288,SUP023
PROD0073,Girl Makeup,Beauty,Makeup,4195.09,3527.62,"Owens, Perez and Zimmerman",75,SUP032
PROD0074,Economy Makeup,Beauty,Makeup,1794.18,1106.64,Medina-Bennett,303,SUP028
PROD0075,Reality Shirt,Clothing,Shirt,2903.44,2053.24,Rivers PLC,182,SUP024
PROD0076,While Fitness,Sports,Fitness,813.84,563.13,Blackburn-Green,154,SUP003
PROD0077,Tend Furniture,Home & Kitchen,Furniture,930.93,789.38,Reyes LLC,14,SUP005
PROD0078,Final Makeup,Beauty,Makeup,2969.31,2172.25,"Davis, Townsend and Jones",43,SUP008
PROD0079,Early Outdoor,Sports,Outdoor,1419.57,991.08,"Fisher, Jones and Mcmillan",82,SUP037
PROD0080,Loss Furniture,Home & Kitchen,Furniture,3826.07,3125.69,Hill PLC,453,SUP033
PROD0081,Charge Dress,Clothing,Dress,2043.57,1478.17,Bush PLC,150,SUP021
PROD0082,Form Jeans,Clothing,Jeans,1577.92,1173.1,Ortiz-Henson,432,SUP009
PROD0083,None Fiction,Books,Fiction,2722.94,1652.16,King-King,71,SUP022
PROD0084,Fire Mobile,Electronics,Mobile,3729.04,3152.49,Porter PLC,491,SUP025
PROD0085,Admit Outdoor,Sports,Outdoor,2322.09,1776.02,"Hanson, Sullivan and Gibson",323,SUP037
PROD0086,Maintain Laptop,Electronics,Laptop,3570.7,2266.45,"Mason, Thompson and Proctor",218,SUP045
PROD0087,Occur Furniture,Home & Kitchen,Furniture,440.33,353.09,Warner-Cruz,342,SUP049
PROD0088,Same Cookware,Home & Kitchen,Cookware,4542.9,3676.11,Neal-Williams,274,SUP013
PROD0089,Daughter Skincare,Beauty,Skincare,956.36,710.58,Rowland-Thomas,217,SUP002
PROD0090,Break Fitness,Sports,Fitness,4206.29,3532.47,Garcia PLC,135,SUP021
PROD0091,Understand Makeup,Beauty,Makeup,3727.88,2448.19,Ramsey and Sons,337,SUP017
PROD0092,Simple Cookware,Home & Kitchen,Cookware,1555.24,1318.51,Davenport PLC,401,SUP034
PROD0093,Type Laptop,Electronics,Laptop,581.15,437.61,"Hayes, Berger and Williams",324,SUP040
PROD0094,He Fitness,Sports,Fitness,1391.61,989.84,"Small, Dorsey and Miller",421,SUP011
PROD0095,Into Headphones,Electronics,Headphones,1330.86,798.63,Mitchell-Vargas,196,SUP022
PROD0096,Business Fitness,Sports,Fitness,4712.97,3246.16,Gonzalez-Wang,421,SUP034
PROD0097,Education Fitness,Sports,Fitness,2827.5,2180.61,"Rodriguez, Newman and Reyes",85,SUP032
PROD0098,Either Jeans,Clothing,Jeans,1720.76,1165.24,"Schroeder, Marshall and Stevens",73,SUP019
PROD0099,Perhaps Cookware,Home & Kitchen,Cookware,3328.0,2328.04,"Brown, Salinas and Mercer",42,SUP041
PROD0100,Him Dress,Clothing,Dress,767.76,588.13,Taylor Inc,14,SUP003
PROD0101,Worker Dress,Clothing,Dress,4186.94,2923.31,Lucas-Robinson,417,SUP010
PROD0102,Suggest Education,Books,Education,1148.74,767.27,Caldwell LLC,219,SUP032
PROD0103,Example Mobile,Electronics,Mobile,1520.0,916.16,"Chambers, Manning and Ellis",408,SUP040
PROD0104,Order Makeup,Beauty,Makeup,4655.06,3234.97,"Lee, Warner and Greene",48,SUP030
PROD0105,Statement Makeup,Beauty,Makeup,2487.21,2035.62,Cobb Inc,222,SUP050
PROD0106,Wife Fiction,Books,Fiction,1921.17,1229.52,"Lane, Harris and Reynolds",168,SUP043
PROD0107,Safe Laptop,Electronics,Laptop,1736.28,1316.26,Jones Inc,378,SUP015
PROD0108,Form Makeup,Beauty,Makeup,556.79,387.1,Rhodes-Townsend,167,SUP047
PROD0109,Popular Shirt,Clothing,Shirt,4229.67,3217.64,Wilson-Ware,248,SUP022
PROD0110,Ever Dress,Clothing,Dress,949.87,596.82,"Gates, Phillips and Burton",156,SUP050
PROD0111,Poor Makeup,Beauty,Makeup,3668.16,2211.81,Nixon Inc,462,SUP010
PROD0112,Reflect Furniture,Home & Kitchen,Furniture,3593.15,2605.11,Holloway LLC,402,SUP030
PROD0113,Effect Fitness,Sports,Fitness,830.21,500.96,Bryant Inc,272,SUP027
PROD0114,Establish Skincare,Beauty,Skincare,4410.07,2725.81,Houston-Fox,123,SUP050
PROD0115,For Education,Books,Education,3506.32,2213.03,"Andrews, Jacobs and Young",145,SUP020
PROD0116,Ability Fitness,Sports,Fitness,1035.4,867.48,Malone Group,155,SUP047
PROD0117,Expect Cookware,Home & Kitchen,Cookware,4581.61,3341.56,Castro and Sons,305,SUP004
PROD0118,Where Cookware,Home & Kitchen,Cookware,3471.67,2723.27,Thompson-Carey,183,SUP038
PROD0119,Fast Cookware,Home & Kitchen,Cookware,3229.07,2317.59,Thompson Ltd,58,SUP015
PROD0120,Pull Headphones,Electronics,Headphones,3961.78,2695.44,Smith-Oliver,372,SUP029
PROD0121,Occur Laptop,Electronics,Laptop,4810.13,3925.29,Finley-Yang,484,SUP020
PROD0122,Indeed Shirt,Clothing,Shirt,677.75,458.1,Ellis-Bradley,226,SUP006
PROD0123,Effect Cookware,Home & Kitchen,Cookware,4961.79,3965.14,"Sanchez, Jordan and Miller",92,SUP031
PROD0124,Interesting Education,Books,Education,794.02,602.92,Rose-Hernandez,241,SUP011
PROD0125,Air Skincare,Beauty,Skincare,574.23,419.25,"Little, Wagner and Lawson",48,SUP027
PROD0126,Free Cookware,Home & Kitchen,Cookware,1818.45,1248.7,"Jones, Gonzalez and Evans",373,SUP048
PROD0127,Off Outdoor,Sports,Outdoor,497.06,388.41,May-Brown,334,SUP017
PROD0128,Big Furniture,Home & Kitchen,Furniture,2053.63,1249.58,"Ferrell, Miller and Brown",118,SUP025
PROD0129,Realize Laptop,Electronics,Laptop,318.44,192.48,"Garcia, Brown and Reid",321,SUP039
PROD0130,Chair Education,Books,Education,3388.06,2123.13,"Jackson, Wilson and Thomas",360,SUP025
PROD0131,Team Outdoor,Sports,Outdoor,2098.29,1757.44,"Gonzalez, Aguirre and Wiggins",362,SUP007
PROD0132,Provide Skincare,Beauty,Skincare,2453.39,1538.44,"Farmer, Sanchez and Patterson",119,SUP033
PROD0133,School Furniture,Home & Kitchen,Furniture,4957.67,3260.02,Lee-Caldwell,489,SUP018
PROD0134,Operation Shirt,Clothing,Shirt,4690.72,2972.31,Young and Sons,482,SUP007
PROD0135,Share Skincare,Beauty,Skincare,2452.82,1922.49,Nolan PLC,419,SUP029
PROD0136,Tough Makeup,Beauty,Makeup,3423.69,2207.21,"Long, Flowers and Wilson",84,SUP022
PROD0137,Nation Fiction,Books,Fiction,2416.17,1891.62,Hall PLC,261,SUP025
PROD0138,Still Dress,Clothing,Dress,834.83,549.37,Thomas-Bailey,176,SUP019
PROD0139,Special Mobile,Electronics,Mobile,2705.04,1979.63,Martin-Green,218,SUP030
PROD0140,Policy Outdoor,Sports,Outdoor,2333.76,1734.15,"Villarreal, Thompson and Clark",180,SUP007
PROD0141,Trial Cookware,Home & Kitchen,Cookware,2040.64,1574.18,Kramer-Barber,285,SUP044
PROD0142,Cell Dress,Clothing,Dress,2570.42,1781.65,"Hernandez, Cannon and Martinez",91,SUP005
PROD0143,During Outdoor,Sports,Outdoor,1052.03,868.39,Carney Inc,68,SUP046
PROD0144,Turn Cookware,Home & Kitchen,Cookware,3027.08,2491.57,Watson PLC,249,SUP031
PROD0145,Become Makeup,Beauty,Makeup,841.87,647.58,Ellis-Webster,253,SUP011
PROD0146,Here Furniture,Home & Kitchen,Furniture,2481.4,1781.84,"Livingston, Robinson and Santos",180,SUP038
PROD0147,Seem Cookware,Home & Kitchen,Cookware,4285.53,3515.53,"Webb, Hartman and Andrade",383,SUP003
PROD0148,Western Fiction,Books,Fiction,236.52,154.81,Sampson-Hunter,434,SUP025
PROD0149,Exactly Headphones,Electronics,Headphones,2631.29,1614.49,Walker Ltd,378,SUP012
PROD0150,Much Makeup,Beauty,Makeup,4748.52,2993.96,Fischer LLC,197,SUP005
PROD0151,Impact Headphones,Electronics,Headphones,2490.08,2108.2,"Washington, Collins and Jones",415,SUP024
PROD0152,Again Fiction,Books,Fiction,3283.42,2544.1,Hernandez-Buck,455,SUP015
PROD0153,Actually Furniture,Home & Kitchen,Furniture,3544.49,2842.16,Case-Dougherty,101,SUP009
PROD0154,Technology Furniture,Home & Kitchen,Furniture,4670.76,3101.94,Williams-Sanders,68,SUP019
PROD0155,Quality Fiction,Books,Fiction,3555.28,2834.28,James and Sons,179,SUP037
PROD0156,Audience Dress,Clothing,Dress,531.56,359.57,Moore-Small,384,SUP013
PROD0157,Court Cookware,Home & Kitchen,Cookware,1313.05,806.71,Maldonado-Sanchez,319,SUP042
PROD0158,Real Skincare,Beauty,Skincare,4123.9,2580.48,Smith PLC,199,SUP037
PROD0159,Painting Fitness,Sports,Fitness,4086.44,3279.33,"Ray, Gonzales and Davis",289,SUP023
PROD0160,Evening Dress,Clothing,Dress,3279.12,2538.98,Griffin-Miller,278,SUP008
PROD0161,Travel Fitness,Sports,Fitness,4504.54,3282.39,"Chang, Solomon and Velasquez",149,SUP044
PROD0162,Talk Makeup,Beauty,Makeup,4422.3,3387.87,"Kramer, Robles and Woodard",295,SUP018
PROD0163,Opportunity Cookware,Home & Kitchen,Cookware,845.49,700.23,Jones-Daniels,408,SUP029
PROD0164,With Outdoor,Sports,Outdoor,403.97,330.03,Washington-Park,441,SUP029
PROD0165,Important Furniture,Home & Kitchen,Furniture,4873.86,3116.68,Bender PLC,358,SUP022
PROD0166,List Mobile,Electronics,Mobile,4254.57,3430.99,Moore PLC,198,SUP039
PROD0167,Age Furniture,Home & Kitchen,Furniture,4054.47,3411.32,"Hill, Kelly and Carter",376,SUP001
PROD0168,See Headphones,Electronics,Headphones,3734.9,3079.95,"Martinez, Simmons and Zuniga",177,SUP049
PROD0169,Fund Headphones,Electronics,Headphones,559.52,464.86,Thompson-Walker,66,SUP050
PROD0170,Pass Outdoor,Sports,Outdoor,2822.44,1924.91,"Brown, Jones and Nguyen",307,SUP034
PROD0171,Huge Outdoor,Sports,Outdoor,3633.36,2967.91,Manning Inc,142,SUP042
PROD0172,Tonight Fiction,Books,Fiction,3100.97,2500.32,Thomas PLC,121,SUP025
PROD0173,Else Outdoor,Sports,Outdoor,3017.77,2464.42,"Singh, Schneider and Kelly",104,SUP012
PROD0174,Force Outdoor,Sports,Outdoor,372.76,260.34,"Miller, Taylor and Ashley",99,SUP035
PROD0175,Within Furniture,Home & Kitchen,Furniture,2542.08,1831.1,"Davis, Martinez and Erickson",227,SUP027
PROD0176,Claim Dress,Clothing,Dress,2561.44,1719.48,"Lane, Skinner and Dunn",130,SUP011
PROD0177,Sign Outdoor,Sports,Outdoor,570.71,449.91,Matthews-Lyons,381,SUP008
PROD0178,Process Laptop,Electronics,Laptop,905.99,567.73,"Shelton, Turner and Martin",445,SUP033
PROD0179,Region Mobile,Electronics,Mobile,1638.05,1070.22,Stanley LLC,247,SUP039
PROD0180,Stand Jeans,Clothing,Jeans,221.66,188.15,Fowler-Johnson,104,SUP049
PROD0181,When Shirt,Clothing,Shirt,1039.43,683.56,Jimenez-Morgan,167,SUP008
PROD0182,Cell Jeans,Clothing,Jeans,3001.47,2047.62,Newman Group,392,SUP015
PROD0183,Director Mobile,Electronics,Mobile,3968.77,3052.52,May Ltd,482,SUP017
PROD0184,Ahead Makeup,Beauty,Makeup,1797.64,1412.44,Jones-Robertson,49,SUP024
PROD0185,When Skincare,Beauty,Skincare,4956.65,3259.43,Herring-Rios,365,SUP039
PROD0186,Big Outdoor,Sports,Outdoor,4761.48,3740.25,"Allen, Stein and Valenzuela",279,SUP035
PROD0187,Around Fiction,Books,Fiction,235.71,196.66,Murray Ltd,113,SUP012
PROD0188,Third Skincare,Beauty,Skincare,4540.47,2846.3,Nixon LLC,211,SUP023
PROD0189,Medical Makeup,Beauty,Makeup,1174.75,857.71,Mayer-Harvey,132,SUP050
PROD0190,Ask Skincare,Beauty,Skincare,2257.3,1727.95,"Thompson, Price and Davis",167,SUP041
PROD0191,Politics Jeans,Clothing,Jeans,3288.79,2644.48,Kelley-Martinez,372,SUP048
PROD0192,Law Mobile,Electronics,Mobile,1713.71,1412.0,"Hawkins, Alvarado and Perkins",383,SUP001
PROD0193,Many Education,Books,Education,376.4,244.5,Banks PLC,54,SUP048
PROD0194,Owner Skincare,Beauty,Skincare,2323.88,1771.04,Parker-Bauer,360,SUP031
PROD0195,Station Furniture,Home & Kitchen,Furniture,354.23,261.04,Williams-Pruitt,266,SUP024
PROD0196,Reflect Outdoor,Sports,Outdoor,3738.73,2871.95,Welch-Mack,496,SUP006
PROD0197,She Education,Books,Education,4728.24,3741.72,Hill Ltd,450,SUP018
PROD0198,Others Laptop,Electronics,Laptop,1146.11,906.38,Roach-Ross,233,SUP014
PROD0199,Tax Shirt,Clothing,Shirt,4947.3,3797.64,King-Diaz,177,SUP029
PROD0200,Move Furniture,Home & Kitchen,Furniture,3958.86,2923.24,"Harris, Graves and Ayala",430,SUP043
PROD0201,Know Makeup,Beauty,Makeup,1125.85,735.6,"Abbott, Obrien and Hernandez",151,SUP038
PROD0202,Article Dress,Clothing,Dress,3082.61,2557.99,Dunn and Sons,214,SUP037
PROD0203,Call Furniture,Home & Kitchen,Furniture,739.0,527.26,"Bryan, Bradley and Durham",228,SUP016
PROD0204,Call Headphones,Electronics,Headphones,974.28,748.41,Ball-Reese,396,SUP021
PROD0205,Their Laptop,Electronics,Laptop,2393.34,1898.35,Morales-Bates,266,SUP010
PROD0206,Attention Cookware,Home & Kitchen,Cookware,4142.48,2943.58,"Thomas, Richards and Clark",94,SUP010
PROD0207,Such Jeans,Clothing,Jeans,325.3,195.41,"Fuentes, Wiley and Mack",400,SUP050
PROD0208,Sometimes Headphones,Electronics,Headphones,2207.89,1615.73,Fields and Sons,142,SUP019
PROD0209,Group Fitness,Sports,Fitness,1790.77,1392.58,Nelson-Burns,203,SUP035
PROD0210,Fish Outdoor,Sports,Outdoor,3576.08,2814.31,Fisher-Petersen,96,SUP007
PROD0211,Development Skincare,Beauty,Skincare,2813.2,1794.87,"Fisher, Wolf and Gonzales",181,SUP029
PROD0212,His Fitness,Sports,Fitness,2037.65,1498.52,Gonzalez-Short,461,SUP043
PROD0213,Him Furniture,Home & Kitchen,Furniture,1959.88,1557.94,Gomez-Perez,411,SUP017
PROD0214,Sound Outdoor,Sports,Outdoor,916.61,734.15,Smith PLC,312,SUP038
PROD0215,Including Furniture,Home & Kitchen,Furniture,1495.73,944.85,"Garcia, Alexander and Mendoza",320,SUP019
PROD0216,Develop Mobile,Electronics,Mobile,2723.3,1924.45,Cervantes Ltd,337,SUP046
PROD0217,Dream Fiction,Books,Fiction,3743.28,2437.27,Vasquez Group,33,SUP039
PROD0218,Suggest Cookware,Home & Kitchen,Cookware,4963.92,3119.66,"Kent, Garcia and Harrison",480,SUP012
PROD0219,Land Mobile,Electronics,Mobile,1159.2,850.01,Mcbride-Martin,381,SUP028
PROD0220,Lay Furniture,Home & Kitchen,Furniture,3681.0,2904.22,Buchanan-Cervantes,362,SUP025
PROD0221,Whether Laptop,Electronics,Laptop,4595.02,3075.9,"Williams, White and Chaney",74,SUP029
PROD0222,Environmental Education,Books,Education,688.49,484.69,"Jones, Gibson and Murphy",319,SUP029
PROD0223,Scene Outdoor,Sports,Outdoor,2815.27,2165.04,Morales-Weaver,475,SUP010
PROD0224,Reveal Furniture,Home & Kitchen,Furniture,3061.51,2303.45,Terry-Lin,253,SUP012
PROD0225,Decision Cookware,Home & Kitchen,Cookware,925.85,704.79,Jackson-Beck,374,SUP020
PROD0226,List Fiction,Books,Fiction,2228.85,1859.05,Johnson-Moore,26,SUP003
PROD0227,Natural Fiction,Books,Fiction,926.31,618.52,"Nguyen, Oneill and Mercer",187,SUP005
PROD0228,Father Fitness,Sports,Fitness,3109.21,2508.72,Green and Sons,311,SUP020
PROD0229,Gas Fiction,Books,Fiction,688.03,481.68,"Simmons, Cabrera and Parker",182,SUP020
PROD0230,General Mobile,Electronics,Mobile,4198.87,3526.12,Washington and Sons,135,SUP027
PROD0231,Speech Cookware,Home & Kitchen,Cookware,864.12,595.24,"Chandler, Stewart and Ward",481,SUP027
PROD0232,Mrs Makeup,Beauty,Makeup,1480.27,1134.99,"Greene, Bell and Williams",87,SUP029
PROD0233,Generation Cookware,Home & Kitchen,Cookware,481.96,289.22,"Barton, Manning and Crawford",485,SUP031
PROD0234,Language Shirt,Clothing,Shirt,2439.84,1717.69,"Butler, Wilson and Dunlap",330,SUP008
PROD0235,Mission Fitness,Sports,Fitness,2012.1,1367.57,Contreras Group,462,SUP005
PROD0236,Likely Makeup,Beauty,Makeup,2177.44,1466.82,Gordon Inc,441,SUP016
PROD0237,Body Fiction,Books,Fiction,1200.98,836.28,Taylor Group,185,SUP013
PROD0238,Young Outdoor,Sports,Outdoor,641.47,469.17,Richardson-King,321,SUP034
PROD0239,Serve Fiction,Books,Fiction,3132.98,1977.34,"Brown, Foster and Richardson",127,SUP018
PROD0240,Production Shirt,Clothing,Shirt,4652.67,3205.31,Harris-Bates,28,SUP041
PROD0241,Campaign Dress,Clothing,Dress,1173.69,981.96,Day LLC,191,SUP041
PROD0242,Ago Cookware,Home & Kitchen,Cookware,1772.55,1144.51,Wright-Fuller,139,SUP002
PROD0243,Song Shirt,Clothing,Shirt,3495.41,2135.14,"Stewart, Nelson and Hanson",383,SUP046
PROD0244,Spring Skincare,Beauty,Skincare,2655.7,2061.83,Brown Ltd,119,SUP003
PROD0245,Develop Fiction,Books,Fiction,835.52,509.2,Turner Inc,297,SUP035
PROD0246,Agree Laptop,Electronics,Laptop,4190.69,2648.02,"Johnson, Smith and Robinson",391,SUP046
PROD0247,Set Fitness,Sports,Fitness,1670.16,1129.71,Spencer Ltd,298,SUP045
PROD0248,Begin Education,Books,Education,3176.79,2039.72,Luna Group,383,SUP016
PROD0249,Maybe Fiction,Books,Fiction,3267.69,2334.34,"Andrews, Walker and Chaney",396,SUP026
PROD0250,Matter Dress,Clothing,Dress,1743.0,1127.39,Roberts and Sons,441,SUP038
PROD0251,Business Headphones,Electronics,Headphones,1478.19,1039.03,Ruiz PLC,260,SUP015
PROD0252,Add Skincare,Beauty,Skincare,1509.7,1200.61,Paul-Reynolds,311,SUP015
PROD0253,Poor Dress,Clothing,Dress,3884.29,2332.48,Cameron LLC,390,SUP010
PROD0254,Someone Mobile,Electronics,Mobile,4831.43,3293.46,"Taylor, Washington and Davis",15,SUP017
PROD0255,Television Laptop,Electronics,Laptop,4519.52,3047.7,"Ford, Martin and Torres",364,SUP039
PROD0256,Throw Laptop,Electronics,Laptop,1150.97,956.33,Eaton-Conrad,325,SUP033
PROD0257,Bar Fiction,Books,Fiction,1268.15,911.9,"Taylor, Buchanan and Johnson",358,SUP020
PROD0258,Democratic Skincare,Beauty,Skincare,1425.98,1087.44,"Reyes, Webb and Campbell",391,SUP003
PROD0259,School Headphones,Electronics,Headphones,624.37,514.92,"Jones, Bond and Pena",67,SUP048
PROD0260,Send Makeup,Beauty,Makeup,4861.01,3552.3,"Mcfarland, Brown and Gomez",383,SUP047
PROD0261,Job Education,Books,Education,3287.24,2088.71,"Martin, Harris and Moore",46,SUP036
PROD0262,Low Cookware,Home & Kitchen,Cookware,1133.87,753.43,"Newton, Anderson and Ward",497,SUP036
PROD0263,What Education,Books,Education,4004.9,2993.54,Adams LLC,127,SUP027
PROD0264,Second Skincare,Beauty,Skincare,1633.01,1062.39,"Stewart, Phillips and Mitchell",122,SUP006
PROD0265,Behind Skincare,Beauty,Skincare,419.95,327.5,"Saunders, Ingram and Gonzalez",365,SUP044
PROD0266,Industry Cookware,Home & Kitchen,Cookware,2422.28,1899.84,"Ortiz, Jones and Johnson",111,SUP029
PROD0267,Service Dress,Clothing,Dress,4034.01,2703.63,Landry LLC,372,SUP015
PROD0268,It Education,Books,Education,3128.44,2439.22,"Brown, Brown and Turner",28,SUP014
PROD0269,Trade Dress,Clothing,Dress,4672.31,3183.68,King-Collins,69,SUP042
PROD0270,Environmental Shirt,Clothing,Shirt,2511.85,2078.71,Harrison PLC,227,SUP047
PROD0271,Small Education,Books,Education,4401.9,2701.02,"White, Flores and Wright",87,SUP028
PROD0272,Light Furniture,Home & Kitchen,Furniture,647.07,427.67,Delacruz-Collins,202,SUP023
