product_name,category,total_profit,profit_margin,revenue,units_sold
Environmental Dress,Clothing,82108.81,26.6,308674.07,142
News Furniture,Home & Kitchen,81896.45,27.95,293047.95,122
Collection Fiction,Books,81572.18,18.07,451456.05,109
Whole Outdoor,Sports,81245.86,19.06,426285.45,131
Lay Outdoor,Sports,80686.66,13.92,579561.7,144
Democratic Jeans,Clothing,80657.46,22.49,358687.13,127
Deep Headphones,Electronics,80564.81,17.97,448205.65,142
Happy Mobile,Electronics,80202.08,18.55,432277.52,136
Southern Mobile,Electronics,80112.5,13.95,574411.66,142
Hear Furniture,Home & Kitchen,79357.14,19.61,404736.24,93
Risk Cookware,Home & Kitchen,79328.97,15.6,508557.97,116
Many Cookware,Home & Kitchen,79199.46,13.67,579499.14,138
Large Fiction,Books,79107.9,17.94,440948.94,99
Successful Jeans,Clothing,78040.39,15.25,511632.15,116
Save Furniture,Home & Kitchen,77740.43,22.4,347004.38,131
Bar Skincare,Beauty,77734.76,17.54,443243.96,106
Trade Outdoor,Sports,77318.15,16.32,473684.45,110
Father Skincare,Beauty,76717.94,26.07,294321.62,112
Team Fiction,Books,76577.29,19.25,397760.2,129
Mind Furniture,Home & Kitchen,76529.79,19.62,390048.75,142
While Cookware,Home & Kitchen,76291.65,26.49,288053.57,128
Call Dress,Clothing,76177.8,17.85,426715.52,122
There Makeup,Beauty,75364.94,20.46,368279.42,219
Theory Skincare,Beauty,75353.14,33.4,225611.22,133
Concern Skincare,Beauty,75126.53,19.47,385907.57,101
Front Dress,Clothing,74443.77,16.94,439491.23,137
Eight Headphones,Electronics,74185.43,21.91,338588.45,98
Health Outdoor,Sports,73592.98,16.57,444221.98,126
Nature Fitness,Sports,73282.9,20.86,351345.67,111
Too Jeans,Clothing,72771.72,19.77,368093.4,141
Another Education,Books,72682.62,30.19,240733.02,147
Course Fitness,Sports,72674.44,25.28,287488.59,127
Red Mobile,Electronics,72575.98,24.91,291356.78,112
Seat Skincare,Beauty,72359.02,19.21,376769.74,107
Book Education,Books,71658.08,19.52,367135.13,131
Must Outdoor,Sports,71529.48,32.32,221325.57,129
Major Skincare,Beauty,71356.89,21.58,330624.69,110
Drug Shirt,Clothing,71353.99,21.42,333181.78,133
Bill Education,Books,71308.98,25.19,283039.26,111
Before Outdoor,Sports,71056.12,21.06,337448.92,108
Financial Fiction,Books,70794.4,26.37,268465.44,112
Coach Cookware,Home & Kitchen,70256.04,29.65,236950.79,137
Manager Fiction,Books,70228.79,21.9,320678.99,117
Collection Laptop,Electronics,69265.41,24.74,279924.81,140
Try Shirt,Clothing,69188.39,18.93,365562.49,110
Explain Fiction,Books,68979.29,15.39,448090.69,124
Then Furniture,Home & Kitchen,68004.8,32.77,207544.48,112
Old Shirt,Clothing,67831.04,16.33,415363.9,122
Would Shirt,Clothing,67382.9,23.83,282706.41,97
Somebody Makeup,Beauty,67307.38,16.11,417847.12,114
Save Laptop,Electronics,66749.31,25.53,261440.19,96
Way Skincare,Beauty,66702.87,11.98,556933.15,124
Agree Fitness,Sports,66696.6,28.12,237173.56,118
Item Shirt,Clothing,65345.8,29.11,224475.16,117
Return Fitness,Sports,65217.63,11.1,587760.0,133
Low Outdoor,Sports,63873.09,24.26,263265.63,137
Be Fiction,Books,63773.95,35.4,180139.08,109
Debate Cookware,Home & Kitchen,63634.73,34.56,184103.12,127
Team Skincare,Beauty,63421.02,22.37,283449.78,126
Into Dress,Clothing,63231.65,18.19,347653.61,111
Movement Education,Books,62996.44,25.99,242417.3,146
Executive Laptop,Electronics,62711.51,34.45,182024.2,127
Job Mobile,Electronics,62272.26,12.38,502861.26,159
Be Laptop,Electronics,62007.48,31.47,197053.08,120
Fact Skincare,Beauty,61788.42,20.15,306687.88,107
High Makeup,Beauty,60937.79,12.74,478275.62,117
Improve Furniture,Home & Kitchen,60903.32,20.25,300733.43,117
Foot Fiction,Books,60858.24,12.04,505609.8,132
Support Skincare,Beauty,60411.07,12.52,482586.81,106
Result Jeans,Clothing,60209.42,21.3,282646.14,121
Argue Mobile,Electronics,59869.69,22.86,261926.69,100
Ground Shirt,Clothing,59828.95,31.53,189750.0,133
Hair Cookware,Home & Kitchen,59562.65,20.75,287014.45,94
Song Furniture,Home & Kitchen,59272.94,14.47,409514.3,163
Help Cookware,Home & Kitchen,59048.33,17.82,331291.73,110
Everyone Fiction,Books,58905.03,11.19,526450.45,127
Major Fitness,Sports,58884.52,26.58,221521.32,128
Hair Education,Books,58751.64,16.23,362047.3,122
Move Outdoor,Sports,58710.81,10.6,554043.31,130
Chance Fitness,Sports,58636.04,16.64,352410.84,110
Financial Furniture,Home & Kitchen,58512.61,21.48,272451.5,121
Run Mobile,Electronics,58443.59,34.05,171627.05,117
Mr Fiction,Books,58003.57,16.25,356944.26,131
Indeed Shirt,Clothing,57850.11,19.85,291476.79,126
Person Jeans,Clothing,57660.62,16.03,359730.92,105
Protect Cookware,Home & Kitchen,57608.04,14.35,401331.53,121
Night Outdoor,Sports,57518.62,12.44,462218.71,129
Congress Education,Books,56675.69,17.99,314981.45,144
Both Fitness,Sports,55510.26,18.91,293517.36,106
Organization Outdoor,Sports,54612.62,24.73,220841.42,96
Much Shirt,Clothing,54521.13,23.28,234201.36,129
Building Fiction,Books,54439.14,19.48,279395.79,129
Media Mobile,Electronics,54388.81,18.11,300358.34,131
Miss Dress,Clothing,54215.04,9.36,579423.72,137
Your Skincare,Beauty,53966.3,27.14,198812.54,112
Current Headphones,Electronics,53894.94,18.04,298785.3,132
Adult Furniture,Home & Kitchen,53621.91,18.49,290058.66,99
Begin Furniture,Home & Kitchen,53396.8,20.34,262480.3,90
Above Dress,Clothing,52995.58,21.96,241347.18,115
Operation Makeup,Beauty,52994.34,15.47,342574.74,135
Wait Makeup,Beauty,52987.76,16.34,324277.54,127
Two Education,Books,52767.72,16.88,312587.46,122
In Fiction,Books,52520.88,13.58,386866.57,237
Seat Mobile,Electronics,52403.05,13.11,399810.46,119
Recently Laptop,Electronics,52321.92,15.02,348403.92,120
Success Fitness,Sports,51988.33,14.48,359001.73,141
Sign Education,Books,51365.91,19.05,269699.83,112
Case Outdoor,Sports,50930.97,13.19,386142.42,177
Cut Cookware,Home & Kitchen,50801.58,18.09,280874.61,111
Can Cookware,Home & Kitchen,50018.61,16.27,307427.73,124
Art Cookware,Home & Kitchen,49986.76,14.21,351778.36,120
Recent Skincare,Beauty,49529.26,17.04,290690.02,141
Go Education,Books,49106.02,10.1,486134.71,119
Within Fiction,Books,49093.07,12.36,397286.53,101
Remain Shirt,Clothing,49033.0,9.52,514830.5,125
College Laptop,Electronics,48848.77,25.94,188306.59,113
Significant Shirt,Clothing,48371.42,30.71,157500.72,107
Begin Shirt,Clothing,48249.35,35.56,135668.51,111
Debate Fiction,Books,48155.17,13.79,349190.93,106
Until Shirt,Clothing,47332.89,18.81,251655.69,115
Condition Furniture,Home & Kitchen,47171.34,23.02,204936.48,78
Share Fitness,Sports,46940.33,24.1,194749.61,128
Court Shirt,Clothing,46805.2,12.61,371196.22,127
Process Headphones,Electronics,46385.75,10.0,463933.65,110
Society Education,Books,46295.56,20.89,221590.04,136
Add Headphones,Electronics,46134.14,9.35,493534.54,116
Among Fitness,Sports,45469.7,17.7,256890.91,143
Camera Mobile,Electronics,44814.89,21.38,209645.54,115
Successful Makeup,Beauty,44584.59,12.42,358932.75,114
Yet Furniture,Home & Kitchen,44580.09,11.08,402516.53,151
Your Dress,Clothing,44367.97,9.83,451356.87,145
Drive Skincare,Beauty,43726.89,13.64,320465.13,124
Meet Makeup,Beauty,43670.49,32.1,136041.37,137
Guy Cookware,Home & Kitchen,43670.23,12.86,339591.1,119
Service Cookware,Home & Kitchen,43604.66,19.34,225444.26,72
Science Fitness,Sports,43512.45,14.67,296551.02,89
Source Fitness,Sports,43436.44,11.3,384550.52,124
Less Jeans,Clothing,43349.82,12.08,358838.16,122
Yet Shirt,Clothing,43166.45,12.26,352072.34,123
Knowledge Fiction,Books,42487.81,13.32,318922.85,112
Stock Headphones,Electronics,42476.62,11.07,383563.34,128
Certain Laptop,Electronics,42323.84,26.16,161800.56,92
Travel Cookware,Home & Kitchen,41893.76,29.69,141100.45,121
She Skincare,Beauty,41776.44,9.63,433916.54,142
Thank Dress,Clothing,41731.9,34.18,122107.7,92
This Education,Books,41209.52,29.03,141955.97,135
Tend Jeans,Clothing,41159.3,10.35,397811.7,130
Skill Furniture,Home & Kitchen,41151.65,10.75,382809.17,146
For Jeans,Clothing,41086.32,12.31,333897.27,135
Area Jeans,Clothing,40946.32,11.03,371097.82,141
Discussion Fitness,Sports,40890.11,20.7,197581.83,131
Water Cookware,Home & Kitchen,40652.89,15.09,269321.95,113
Forget Outdoor,Sports,40534.61,29.08,139369.01,112
Degree Makeup,Beauty,40471.61,18.12,223316.49,142
Under Dress,Clothing,40193.57,10.46,384197.72,139
Fall Headphones,Electronics,39983.13,13.68,292184.73,105
Audience Fitness,Sports,39698.1,23.26,170637.04,121
Move Laptop,Electronics,39050.7,8.18,477187.1,130
Boy Dress,Clothing,38975.13,24.13,161492.47,121
War Fiction,Books,38957.62,30.4,128160.95,113
Discussion Education,Books,38709.88,22.68,170710.23,89
Candidate Jeans,Clothing,38500.87,9.14,421223.98,99
Hold Shirt,Clothing,38050.14,9.99,380740.8,117
Myself Makeup,Beauty,38037.7,22.86,166375.08,106
Today Cookware,Home & Kitchen,37432.25,7.24,517322.33,144
Result Shirt,Clothing,37283.95,14.54,256338.1,105
Grow Cookware,Home & Kitchen,37227.45,9.47,393018.89,134
Sea Fitness,Sports,35998.7,20.32,177170.7,145
Product Fiction,Books,35799.67,34.69,103205.52,85
Space Laptop,Electronics,35722.97,11.67,306156.86,137
Fine Furniture,Home & Kitchen,35695.75,16.64,214575.99,77
Other Headphones,Electronics,35477.71,9.43,376170.03,122
Go Shirt,Clothing,35390.66,24.97,141719.36,135
Behind Headphones,Electronics,35210.73,26.32,133785.57,153
If Laptop,Electronics,35126.99,27.25,128894.17,131
Watch Outdoor,Sports,35123.07,31.92,110035.73,139
Money Education,Books,34884.4,19.35,180320.08,102
Animal Fiction,Books,34402.07,15.18,226594.55,108
Of Outdoor,Sports,34392.54,27.02,127305.99,107
Environment Skincare,Beauty,34305.39,22.95,149487.47,104
Ability Makeup,Beauty,33894.57,26.92,125917.57,115
Front Jeans,Clothing,33814.3,30.88,109486.33,111
Bad Makeup,Beauty,33589.46,27.35,122835.1,106
Mr Furniture,Home & Kitchen,33537.79,20.01,167644.54,95
Case Makeup,Beauty,33114.18,16.53,200324.44,133
Term Mobile,Electronics,32995.15,31.57,104512.65,125
Dog Fitness,Sports,32421.1,19.21,168801.05,119
Among Skincare,Beauty,32212.09,18.4,175106.53,114
Protect Furniture,Home & Kitchen,32086.72,35.46,90491.92,102
Significant Headphones,Electronics,31684.56,18.49,171350.16,106
Which Cookware,Home & Kitchen,31539.31,11.35,277845.82,107
Our Headphones,Electronics,31491.69,12.76,246756.69,100
Individual Mobile,Electronics,31357.16,21.1,148646.28,124
Include Cookware,Home & Kitchen,31274.52,33.19,94238.1,102
Officer Education,Books,31268.44,8.67,360803.92,102
Society Outdoor,Sports,31029.91,8.65,358689.97,98
New Jeans,Clothing,30842.41,11.39,270800.17,113
Do Education,Books,30785.37,15.95,192954.84,151
Let Cookware,Home & Kitchen,30339.02,15.39,197174.22,112
Tend Education,Books,30016.87,19.57,153406.09,113
Somebody Fitness,Sports,30002.57,24.25,123721.82,115
Analysis Outdoor,Sports,29747.31,23.8,125012.25,118
Loss Furniture,Home & Kitchen,29515.5,30.3,97409.58,96
Interesting Fiction,Books,29418.47,34.81,84522.61,137
Stop Education,Books,29369.39,20.77,141417.11,138
Floor Skincare,Beauty,29258.94,28.87,101356.3,134
Money Outdoor,Sports,29237.9,10.53,277569.1,104
Walk Makeup,Beauty,29077.42,11.09,262114.86,107
Meeting Outdoor,Sports,28980.95,26.92,107642.39,144
Defense Mobile,Electronics,28890.78,28.45,101535.68,122
Important Dress,Clothing,28886.98,24.18,119471.56,123
Enter Outdoor,Sports,28785.21,22.18,129805.11,123
Soldier Makeup,Beauty,28317.31,20.18,140332.6,67
Treatment Jeans,Clothing,28221.9,18.59,151819.68,141
Affect Dress,Clothing,28140.08,11.62,242202.23,115
Apply Jeans,Clothing,28114.45,23.84,117926.25,130
Kid Furniture,Home & Kitchen,28055.31,9.11,307945.95,108
Goal Makeup,Beauty,27773.03,24.61,112851.11,129
Be Skincare,Beauty,27633.77,26.07,105991.02,103
Political Outdoor,Sports,27622.25,12.68,217872.71,122
Company Skincare,Beauty,27490.03,26.62,103260.27,91
Before Shirt,Clothing,27413.93,18.7,146588.69,108
Important Jeans,Clothing,27336.56,17.55,155787.08,99
Mouth Cookware,Home & Kitchen,27322.11,18.97,144064.01,110
Occur Furniture,Home & Kitchen,27257.32,11.66,233822.44,144
Idea Laptop,Electronics,27192.29,11.01,247061.73,128
Fact Outdoor,Sports,27094.37,11.81,229357.97,132
Dream Education,Books,27050.75,19.8,136614.35,120
If Outdoor,Sports,26883.28,22.55,119221.84,144
House Education,Books,26659.47,13.07,203941.47,147
Against Furniture,Home & Kitchen,26404.53,19.23,137335.83,115
North Shirt,Clothing,26400.99,25.1,105176.29,166
Environmental Headphones,Electronics,26283.92,12.58,208855.14,106
Anything Education,Books,25851.23,17.11,151078.43,140
Fund Headphones,Electronics,25748.4,8.05,319929.65,121
Although Skincare,Beauty,25740.92,20.73,124168.6,104
Animal Cookware,Home & Kitchen,25501.44,15.43,165235.44,100
Leg Cookware,Home & Kitchen,25048.53,23.77,105382.98,135
Voice Dress,Clothing,24395.61,11.09,220038.47,122
Report Skincare,Beauty,24388.04,28.75,84815.16,97
Capital Makeup,Beauty,24199.78,9.2,263049.46,131
Own Cookware,Home & Kitchen,24131.87,10.83,222755.23,104
Hope Dress,Clothing,23945.25,30.01,79798.58,127
He Fitness,Sports,23554.71,12.79,184148.59,116
Nor Outdoor,Sports,23297.7,8.91,261409.56,119
Arrive Makeup,Beauty,23256.63,17.12,135861.02,97
Nice Skincare,Beauty,23248.46,13.72,169470.25,143
Week Skincare,Beauty,23198.64,18.91,122677.35,123
Worker Furniture,Home & Kitchen,23119.45,9.82,235396.57,88
Movie Makeup,Beauty,23106.51,19.18,120444.21,122
Deep Dress,Clothing,23052.34,34.25,67303.15,87
Visit Fitness,Sports,22986.38,27.75,82832.12,134
Forward Skincare,Beauty,22852.79,20.69,110463.74,127
Never Education,Books,22503.07,7.5,299934.92,101
Bring Fiction,Books,22336.25,19.46,114768.78,137
Off Fitness,Sports,22131.43,14.72,150334.89,119
Alone Makeup,Beauty,21903.64,28.41,77094.13,103
Window Makeup,Beauty,21839.01,13.47,162089.53,86
Rather Cookware,Home & Kitchen,21296.08,33.79,63019.7,118
Forget Jeans,Clothing,21275.28,30.82,69036.16,92
Amount Furniture,Home & Kitchen,20970.06,11.48,182719.29,129
Machine Outdoor,Sports,20571.41,7.59,271078.33,118
Begin Outdoor,Sports,20569.74,29.48,69779.74,125
Artist Makeup,Beauty,20440.77,10.06,203250.52,115
Moment Skincare,Beauty,19608.86,19.08,102791.54,126
Base Mobile,Electronics,19343.13,13.89,139269.23,95
Find Outdoor,Sports,19327.53,33.51,57682.33,115
Something Dress,Clothing,19319.49,13.98,138148.73,116
Hot Laptop,Electronics,19057.14,30.34,62820.31,131
Goal Outdoor,Sports,18990.75,15.7,120990.13,98
Quickly Fitness,Sports,18881.85,12.8,147537.51,119
Sister Jeans,Clothing,18375.36,17.54,104789.76,120
Cell Cookware,Home & Kitchen,18340.82,29.82,61501.41,107
Experience Dress,Clothing,18273.36,34.4,53126.44,101
Not Furniture,Home & Kitchen,18264.68,27.33,66841.91,117
Anyone Mobile,Electronics,18252.27,26.44,69037.03,127
High Headphones,Electronics,18143.2,21.59,84033.52,116
Ready Fiction,Books,17903.41,11.76,152180.89,108
Reason Skincare,Beauty,17650.21,14.92,118266.67,123
Network Skincare,Beauty,17636.33,13.33,132354.89,132
For Mobile,Electronics,17574.18,22.76,77205.78,124
Good Jeans,Clothing,17524.38,29.76,58891.37,133
Rather Furniture,Home & Kitchen,17354.64,10.99,157914.24,120
Baby Furniture,Home & Kitchen,17255.7,23.99,71924.28,123
Suddenly Education,Books,16931.48,16.39,103295.12,113
Positive Fiction,Books,16912.94,16.68,101388.38,126
Wear Furniture,Home & Kitchen,16618.19,22.89,72594.74,105
Shake Furniture,Home & Kitchen,16392.66,26.61,61599.16,115
Onto Education,Books,16373.91,20.7,79115.43,124
Interesting Furniture,Home & Kitchen,16330.26,9.77,167146.9,104
Notice Skincare,Beauty,15911.07,29.62,53709.27,115
Particularly Shirt,Clothing,15845.03,20.6,76932.55,104
Writer Fiction,Books,15742.46,16.59,94912.74,124
Treatment Shirt,Clothing,15631.27,19.64,79569.75,131
Always Cookware,Home & Kitchen,15547.29,29.8,52166.18,133
Relate Laptop,Electronics,15533.97,11.65,133314.67,115
Us Fiction,Books,15349.87,17.98,85349.83,118
Size Furniture,Home & Kitchen,15271.47,29.98,50940.47,106
Instead Outdoor,Sports,15265.26,21.49,71021.64,129
Now Headphones,Electronics,15069.69,11.0,136990.39,110
Expect Cookware,Home & Kitchen,14749.5,12.85,114792.3,120
Common Jeans,Clothing,14745.23,21.41,68858.63,110
Strategy Jeans,Clothing,14691.32,10.29,142823.66,94
Meeting Makeup,Beauty,14578.79,23.42,62249.45,129
Individual Cookware,Home & Kitchen,13894.33,20.05,69305.7,127
Fish Education,Books,13293.58,8.15,163024.63,105
Food Fiction,Books,13264.03,8.58,154505.46,101
Individual Fiction,Books,13111.25,32.77,40012.97,108
Black Skincare,Beauty,12962.67,8.83,146750.12,85
Focus Furniture,Home & Kitchen,12746.78,26.41,48263.1,112
Two Furniture,Home & Kitchen,12630.05,23.04,54828.89,108
Rate Fiction,Books,12555.29,11.57,108484.08,101
Least Headphones,Electronics,12402.11,17.94,69120.92,97
Remember Cookware,Home & Kitchen,12260.47,21.26,57659.89,99
Skill Skincare,Beauty,12240.65,19.28,63487.78,121
Measure Makeup,Beauty,12178.59,18.21,66868.79,124
Real Laptop,Electronics,11823.52,12.63,93606.88,144
Face Fiction,Books,11730.63,12.15,96519.83,170
Speech Fitness,Sports,11387.82,9.3,122476.88,106
Expect Fiction,Books,11065.9,23.32,47450.15,119
Too Laptop,Electronics,11033.57,16.83,65553.77,126
Campaign Laptop,Electronics,10964.5,16.58,66118.5,110
Arrive Education,Books,10273.48,9.06,113333.32,156
Movie Education,Books,10265.71,17.31,59314.73,131
Piece Jeans,Clothing,9676.71,18.75,51595.65,119
Reason Dress,Clothing,9635.94,24.96,38612.1,106
Son Cookware,Home & Kitchen,9568.58,23.61,40528.58,100
Voice Shirt,Clothing,9524.09,22.37,42579.91,119
Method Shirt,Clothing,9445.02,11.47,82364.37,147
Run Fitness,Sports,9390.77,20.94,44850.39,119
Station Education,Books,9160.67,13.9,65902.46,133
Particularly Jeans,Clothing,9120.6,27.83,32767.4,124
Best Cookware,Home & Kitchen,9084.09,9.9,91733.81,124
Art Shirt,Clothing,8935.83,29.91,29874.73,113
Produce Mobile,Electronics,8647.22,7.25,119205.36,119
Building Outdoor,Sports,8629.29,14.48,59600.54,125
Also Outdoor,Sports,8356.22,22.41,37292.94,136
Call Skincare,Beauty,7977.54,12.02,66384.98,104
Feeling Furniture,Home & Kitchen,7902.51,19.1,41367.48,121
Police Jeans,Clothing,7742.98,24.61,31460.55,139
Each Shirt,Clothing,7661.92,28.69,26706.31,139
Red Laptop,Electronics,7362.42,7.73,95225.07,95
Mind Cookware,Home & Kitchen,7340.34,12.11,60615.64,130
Method Furniture,Home & Kitchen,7046.19,29.38,23984.28,117
Across Shirt,Clothing,6866.39,24.01,28594.64,135
Black Headphones,Electronics,6835.5,26.03,26257.9,122
Issue Fiction,Books,6667.25,9.74,68454.99,109
Difference Skincare,Beauty,6193.52,12.59,49198.08,103
Black Education,Books,6129.45,21.48,28530.21,123
Plant Skincare,Beauty,5566.68,22.07,25222.75,133
Well Headphones,Electronics,5520.41,23.18,23819.21,120
Environment Furniture,Home & Kitchen,5453.4,16.26,33546.36,126
Require Skincare,Beauty,5392.78,6.2,87043.02,112
Kid Dress,Clothing,5278.34,24.71,21358.82,117
Left Outdoor,Sports,5221.44,23.89,21856.78,82
Might Makeup,Beauty,4998.61,28.2,17722.45,96
Realize Education,Books,4833.91,10.4,46499.71,107
Forget Mobile,Electronics,4639.57,9.12,50881.01,112
Game Makeup,Beauty,4607.29,11.65,39556.69,124
